DATE,UBIT,DURATION,ACTIVITY & TOOL DESCRIPTION
2/11/2019,jmorrow2,3 hours,Wrote code to handle command line flags and store which fields are passed in. Helped with reading in file lines and planning how to parse file lines. 
2/15/2019,jmorrow2,2 hours,Changed flags read in to be stored in a 3d array
